Year,Month,Day,Hour,Minute,DNI
2016,1,7,1,0,0
2016,1,7,1,30,0
2016,1,7,2,0,0
2016,1,7,2,30,0
2016,1,7,3,0,0
2016,1,7,3,30,0
2016,1,7,4,0,0
2016,1,7,4,30,0
2016,1,7,5,0,0
2016,1,7,5,30,0
2016,1,7,6,0,0
2016,1,7,6,30,0
2016,1,7,7,0,0
2016,1,7,7,30,317
2016,1,7,8,0,632
2016,1,7,8,30,780
2016,1,7,9,0,885
2016,1,7,9,30,939
2016,1,7,10,0,982
2016,1,7,10,30,1007
2016,1,7,11,0,1027
2016,1,7,11,30,470
2016,1,7,12,0,377
2016,1,7,12,30,207
2016,1,7,13,0,227
2016,1,7,13,30,205
2016,1,7,14,0,191
2016,1,7,14,30,97
2016,1,7,15,0,993
2016,1,7,15,30,965
2016,1,7,16,0,924
2016,1,7,16,30,865
2016,1,7,17,0,774
2016,1,7,17,30,617
2016,1,7,18,0,296
2016,1,7,18,30,0
2016,1,7,19,0,0
2016,1,7,19,30,0
2016,1,7,20,0,0
2016,1,7,20,30,0
2016,1,7,21,0,0
2016,1,7,21,30,0
2016,1,7,22,0,0
2016,1,7,22,30,0
2016,1,7,23,0,0
2016,1,7,23,30,0
2016,1,8,0,0,0
2016,1,8,0,30,0
2016,1,8,1,0,0
2016,1,8,1,30,0
2016,1,8,2,0,0
2016,1,8,2,30,0
2016,1,8,3,0,0
2016,1,8,3,30,0
2016,1,8,4,0,0
2016,1,8,4,30,0
2016,1,8,5,0,0
2016,1,8,5,30,0
2016,1,8,6,0,0
2016,1,8,6,30,0
2016,1,8,7,0,0
2016,1,8,7,30,0
2016,1,8,8,0,315
2016,1,8,8,30,392
2016,1,8,9,0,371
2016,1,8,9,30,257
2016,1,8,10,0,167
2016,1,8,10,30,324
2016,1,8,11,0,278
2016,1,8,11,30,328
2016,1,8,12,0,533
2016,1,8,12,30,1062
2016,1,8,13,0,1062
2016,1,8,13,30,1057
2016,1,8,14,0,1048
2016,1,8,14,30,1035
2016,1,8,15,0,1015
2016,1,8,15,30,988
2016,1,8,16,0,951
2016,1,8,16,30,896
2016,1,8,17,0,810
2016,1,8,17,30,661
2016,1,8,18,0,353
2016,1,8,18,30,0
2016,1,8,19,0,0
2016,1,8,19,30,0
2016,1,8,20,0,0
2016,1,8,20,30,0
2016,1,8,21,0,0
2016,1,8,21,30,0
2016,1,8,22,0,0
2016,1,8,22,30,0
2016,1,8,23,0,0
2016,1,8,23,30,0
2016,1,9,0,0,0
2016,1,9,0,30,0
2016,1,9,1,0,0
2016,1,9,1,30,0
2016,1,9,2,0,0
2016,1,9,2,30,0
2016,1,9,3,0,0
2016,1,9,3,30,0
2016,1,9,4,0,0
2016,1,9,4,30,0
2016,1,9,5,0,0
2016,1,9,5,30,0
2016,1,9,6,0,0
2016,1,9,6,30,0
2016,1,9,7,0,0
2016,1,9,7,30,391
2016,1,9,8,0,677
2016,1,9,8,30,818
2016,1,9,9,0,898
2016,1,9,9,30,951
2016,1,9,10,0,985
2016,1,9,10,30,1011
2016,1,9,11,0,1026
2016,1,9,11,30,1038
2016,1,9,12,0,1041
2016,1,9,12,30,1044
2016,1,9,13,0,1042
2016,1,9,13,30,455
2016,1,9,14,0,1027
2016,1,9,14,30,1014
2016,1,9,15,0,993
2016,1,9,15,30,965
2016,1,9,16,0,470
2016,1,9,16,30,462
2016,1,9,17,0,428
2016,1,9,17,30,342
2016,1,9,18,0,0
2016,1,9,18,30,0
2016,1,9,19,0,0
2016,1,9,19,30,0
2016,1,9,20,0,0
2016,1,9,20,30,0
2016,1,9,21,0,0
2016,1,9,21,30,0
2016,1,9,22,0,0
2016,1,9,22,30,0
2016,1,9,23,0,0
2016,1,9,23,30,0
2016,1,10,0,0,0
2016,1,10,0,30,0
2016,1,10,1,0,0
2016,1,10,1,30,0
2016,1,10,2,0,0
2016,1,10,2,30,0
2016,1,10,3,0,0
2016,1,10,3,30,0
2016,1,10,4,0,0
2016,1,10,4,30,0
2016,1,10,5,0,0
2016,1,10,5,30,0
2016,1,10,6,0,0
2016,1,10,6,30,0
2016,1,10,7,0,0
2016,1,10,7,30,0
2016,1,10,8,0,0
2016,1,10,8,30,0
2016,1,10,9,0,12
2016,1,10,9,30,11
2016,1,10,10,0,173
2016,1,10,10,30,142
2016,1,10,11,0,86
2016,1,10,11,30,16
2016,1,10,12,0,30
2016,1,10,12,30,431
2016,1,10,13,0,150
2016,1,10,13,30,341
2016,1,10,14,0,48
2016,1,10,14,30,255
2016,1,10,15,0,254
2016,1,10,15,30,508
2016,1,10,16,0,525
2016,1,10,16,30,506
2016,1,10,17,0,476
2016,1,10,17,30,636
2016,1,10,18,0,330
2016,1,10,18,30,0
2016,1,10,19,0,0
2016,1,10,19,30,0
2016,1,10,20,0,0
2016,1,10,20,30,0
2016,1,10,21,0,0
2016,1,10,21,30,0
2016,1,10,22,0,0
2016,1,10,22,30,0
2016,1,10,23,0,0
2016,1,10,23,30,0
2016,1,11,0,0,0
2016,1,11,0,30,0
2016,1,11,1,0,0
2016,1,11,1,30,0
2016,1,11,2,0,0
2016,1,11,2,30,0
2016,1,11,3,0,0
2016,1,11,3,30,0
2016,1,11,4,0,0
2016,1,11,4,30,0
2016,1,11,5,0,0
2016,1,11,5,30,0
2016,1,11,6,0,0
2016,1,11,6,30,0
2016,1,11,7,0,0
2016,1,11,7,30,381
2016,1,11,8,0,676
2016,1,11,8,30,819
2016,1,11,9,0,905
2016,1,11,9,30,958
2016,1,11,10,0,994
2016,1,11,10,30,1019
2016,1,11,11,0,1035
2016,1,11,11,30,1045
2016,1,11,12,0,1047
2016,1,11,12,30,1049
2016,1,11,13,0,1047
2016,1,11,13,30,1042
2016,1,11,14,0,1033
2016,1,11,14,30,1019
2016,1,11,15,0,1000
2016,1,11,15,30,972
2016,1,11,16,0,933
2016,1,11,16,30,877
2016,1,11,17,0,790
2016,1,11,17,30,643
2016,1,11,18,0,345
2016,1,11,18,30,0
2016,1,11,19,0,0
2016,1,11,19,30,0
2016,1,11,20,0,0
2016,1,11,20,30,0
2016,1,11,21,0,0
2016,1,11,21,30,0
2016,1,11,22,0,0
2016,1,11,22,30,0
2016,1,11,23,0,0
2016,1,11,23,30,0
2016,1,12,0,0,0
2016,1,12,0,30,0
2016,1,12,1,0,0
2016,1,12,1,30,0
2016,1,12,2,0,0
2016,1,12,2,30,0
2016,1,12,3,0,0
2016,1,12,3,30,0
2016,1,12,4,0,0
2016,1,12,4,30,0
2016,1,12,5,0,0
2016,1,12,5,30,0
2016,1,12,6,0,0
2016,1,12,6,30,0
2016,1,12,7,0,0
2016,1,12,7,30,0
2016,1,12,8,0,316
2016,1,12,8,30,420
2016,1,12,9,0,340
2016,1,12,9,30,429
2016,1,12,10,0,132
2016,1,12,10,30,403
2016,1,12,11,0,30
2016,1,12,11,30,349
2016,1,12,12,0,95
2016,1,12,12,30,167
2016,1,12,13,0,73
2016,1,12,13,30,35
2016,1,12,14,0,12
2016,1,12,14,30,47
2016,1,12,15,0,41
2016,1,12,15,30,74
2016,1,12,16,0,21
2016,1,12,16,30,15
2016,1,12,17,0,2
2016,1,12,17,30,0
2016,1,12,18,0,0
2016,1,12,18,30,0
2016,1,12,19,0,0
2016,1,12,19,30,0
2016,1,12,20,0,0
2016,1,12,20,30,0
2016,1,12,21,0,0
2016,1,12,21,30,0
2016,1,12,22,0,0
2016,1,12,22,30,0
2016,1,12,23,0,0
2016,1,12,23,30,0
2016,1,13,0,0,0
2016,1,13,0,30,0
2016,1,13,1,0,0
2016,1,13,1,30,0
2016,1,13,2,0,0
2016,1,13,2,30,0
2016,1,13,3,0,0
2016,1,13,3,30,0
2016,1,13,4,0,0
2016,1,13,4,30,0
2016,1,13,5,0,0
2016,1,13,5,30,0
2016,1,13,6,0,0
2016,1,13,6,30,0
2016,1,13,7,0,0
2016,1,13,7,30,0
2016,1,13,8,0,0
2016,1,13,8,30,0
2016,1,13,9,0,0
2016,1,13,9,30,5
2016,1,13,10,0,171
2016,1,13,10,30,0
2016,1,13,11,0,56
2016,1,13,11,30,16
2016,1,13,12,0,58
2016,1,13,12,30,13
2016,1,13,13,0,18
2016,1,13,13,30,69
2016,1,13,14,0,41
2016,1,13,14,30,51
2016,1,13,15,0,34
2016,1,13,15,30,192
2016,1,13,16,0,209
2016,1,13,16,30,204
2016,1,13,17,0,194
2016,1,13,17,30,155
2016,1,13,18,0,0
2016,1,13,18,30,0
2016,1,13,19,0,0
2016,1,13,19,30,0
2016,1,13,20,0,0
2016,1,13,20,30,0
2016,1,13,21,0,0
2016,1,13,21,30,0
2016,1,13,22,0,0
2016,1,13,22,30,0
2016,1,13,23,0,0
2016,1,13,23,30,0
2016,1,14,0,0,0
2016,1,14,0,30,0
2016,1,14,1,0,0
2016,1,14,1,30,0
2016,1,14,2,0,0
2016,1,14,2,30,0
2016,1,14,3,0,0
2016,1,14,3,30,0
2016,1,14,4,0,0
2016,1,14,4,30,0
2016,1,14,5,0,0
2016,1,14,5,30,0
2016,1,14,6,0,0
2016,1,14,6,30,0
2016,1,14,7,0,0
2016,1,14,7,30,0
2016,1,14,8,0,580
2016,1,14,8,30,737
2016,1,14,9,0,843
2016,1,14,9,30,302
2016,1,14,10,0,293
2016,1,14,10,30,13
2016,1,14,11,0,1002
2016,1,14,11,30,409
2016,1,14,12,0,1026
2016,1,14,12,30,335
2016,1,14,13,0,471
2016,1,14,13,30,1028
2016,1,14,14,0,1021
2016,1,14,14,30,282
2016,1,14,15,0,228
2016,1,14,15,30,962
2016,1,14,16,0,925
2016,1,14,16,30,870
2016,1,14,17,0,784
2016,1,14,17,30,641
2016,1,14,18,0,352
2016,1,14,18,30,0
2016,1,14,19,0,0
2016,1,14,19,30,0
2016,1,14,20,0,0
2016,1,14,20,30,0
2016,1,14,21,0,0
2016,1,14,21,30,0
2016,1,14,22,0,0
2016,1,14,22,30,0
2016,1,14,23,0,0
2016,1,14,23,30,0
2016,1,15,0,0,0
2016,1,15,0,30,0
2016,1,15,1,0,0
2016,1,15,1,30,0
2016,1,15,2,0,0
2016,1,15,2,30,0
2016,1,15,3,0,0
2016,1,15,3,30,0
2016,1,15,4,0,0
2016,1,15,4,30,0
2016,1,15,5,0,0
2016,1,15,5,30,0
2016,1,15,6,0,0
2016,1,15,6,30,0
2016,1,15,7,0,0
2016,1,15,7,30,401
2016,1,15,8,0,705
2016,1,15,8,30,847
2016,1,15,9,0,931
2016,1,15,9,30,984
2016,1,15,10,0,1019
2016,1,15,10,30,1044
2016,1,15,11,0,1059
2016,1,15,11,30,1071
2016,1,15,12,0,1074
2016,1,15,12,30,1077
2016,1,15,13,0,1076
2016,1,15,13,30,1071
2016,1,15,14,0,1063
2016,1,15,14,30,1050
2016,1,15,15,0,1033
2016,1,15,15,30,1007
2016,1,15,16,0,971
2016,1,15,16,30,918
2016,1,15,17,0,836
2016,1,15,17,30,699
2016,1,15,18,0,417
2016,1,15,18,30,0
2016,1,15,19,0,0
2016,1,15,19,30,0
2016,1,15,20,0,0
2016,1,15,20,30,0
2016,1,15,21,0,0
2016,1,15,21,30,0
2016,1,15,22,0,0
